score,time,context_window_size,context_window_operation,similarity_measure,model_name
0.44418928883555675,1.7220219170000064,20,mean,cosine,bert-base-cased
,1.688313082999997,20,prod,cosine,bert-base-cased
,1.7466012919999798,50,prod,cosine,bert-base-cased
0.4441893024495861,1.7035248749999994,20,sum,cosine,bert-base-cased
,2.6594115000000045,20,prod,cosine,bert-base-multilingual-cased
,2.7664850419999993,50,prod,cosine,bert-base-multilingual-cased
0.44846400964363964,2.452690958000005,20,sum,cosine,bert-base-multilingual-cased
0.4484639820882046,2.4159139580000044,20,mean,cosine,bert-base-multilingual-cased
0.42250622205882604,2.428516916999996,20,mean,cosine,bert-large-cased
0.4072413192423123,1.7737578340000084,10,sum,cosine,bert-base-cased
0.4072413012260998,1.7109603749999849,10,mean,cosine,bert-base-cased
0.4056125548582624,2.3836316249999925,10,sum,cosine,bert-base-multilingual-cased
0.4056125449041179,2.458589499999988,10,mean,cosine,bert-base-multilingual-cased
0.3897471174106686,1.7164828329999864,5,sum,cosine,bert-base-cased
0.3897471046801677,1.7363312079999957,5,mean,cosine,bert-base-cased
0.3750988127218564,1.780424209000003,2,mean,cosine,bert-base-cased
0.3750987966509094,1.7375561669999797,2,sum,cosine,bert-base-cased
0.36626795384680677,2.4325511669999855,2,mean,cosine,bert-base-multilingual-cased
0.3662679496728031,2.7064664170000015,2,sum,cosine,bert-base-multilingual-cased
0.3550863008978571,2.507731250000006,5,mean,cosine,bert-base-multilingual-cased
0.3550862756179757,2.5060348749999832,5,sum,cosine,bert-base-multilingual-cased
0.353826339478882,2.4880003330000022,50,mean,cosine,bert-base-multilingual-cased
0.35382632700905725,2.469749125000021,50,sum,cosine,bert-base-multilingual-cased
0.35201182929668695,2.787470959000018,1,sum,cosine,bert-base-multilingual-cased
0.35201181911751167,2.8767992920000154,1,mean,cosine,bert-base-multilingual-cased
0.35139659741779905,1.697380417000005,1,mean,cosine,bert-base-cased
0.3513965891604607,1.7161721250000141,1,sum,cosine,bert-base-cased
0.3510045228902694,1.7711942500000077,50,mean,cosine,bert-base-cased
0.35100446434125576,1.7791556250000156,50,sum,cosine,bert-base-cased
0.3016862987551012,2.372809625000002,0,none,cosine,bert-base-cased
0.20624423559706662,1.6885466660000077,10,prod,cosine,bert-base-cased
0.16099802290664367,3.1641541669999924,0,none,cosine,bert-base-multilingual-cased
0.13076118298159933,2.545514875000009,10,prod,cosine,bert-base-multilingual-cased
0.102416374439953,1.694825250000008,1,prod,cosine,bert-base-cased
0.06254279241190197,2.4268198749999783,1,prod,cosine,bert-base-multilingual-cased
0.0463791996844114,2.497517416999983,2,prod,cosine,bert-base-multilingual-cased
-0.024466651067908574,1.708387292000026,2,prod,cosine,bert-base-cased
-0.10655204059644441,2.4526040840000007,5,prod,cosine,bert-base-multilingual-cased
-0.12726792606784354,1.7574005840000098,5,prod,cosine,bert-base-cased
,2.4424944579999988,20,prod,cosine,bert-large-cased
,2.572389125000001,50,prod,cosine,bert-large-cased
0.42250620128295147,2.430068417000001,20,sum,cosine,bert-large-cased
,2.984987874999945,20,prod,cosine,bert-large-cased-whole-word-masking
,2.945257374999983,50,prod,cosine,bert-large-cased-whole-word-masking
0.4570092159872121,2.92412191599999,20,sum,cosine,bert-large-cased-whole-word-masking
0.4570092110185552,2.981848542000023,20,mean,cosine,bert-large-cased-whole-word-masking
0.40655965783471837,3.007342875000006,10,mean,cosine,bert-large-cased-whole-word-masking
0.4065596534943037,2.924345832999961,10,sum,cosine,bert-large-cased-whole-word-masking
0.3735067347784804,2.899760707999974,2,sum,cosine,bert-large-cased-whole-word-masking
0.373506729531339,2.9161060000000134,2,mean,cosine,bert-large-cased-whole-word-masking
0.3712376643525881,3.129255917000023,5,sum,cosine,bert-large-cased-whole-word-masking
0.3712376545693744,2.894360000000006,5,mean,cosine,bert-large-cased-whole-word-masking
0.37015332850110694,2.4795057079999765,10,mean,cosine,bert-large-cased
0.37015325259782705,2.4841692089999867,10,sum,cosine,bert-large-cased
0.361295182971761,2.91134979200001,1,mean,cosine,bert-large-cased-whole-word-masking
0.36129517976909,2.8900307920000046,1,sum,cosine,bert-large-cased-whole-word-masking
0.3468881319293047,2.466873458000009,50,mean,cosine,bert-large-cased
0.3468879610868061,2.4675842499999874,50,sum,cosine,bert-large-cased
0.3461650745222147,2.9618606249999857,50,sum,cosine,bert-large-cased-whole-word-masking
0.34616502640820923,3.004505666,50,mean,cosine,bert-large-cased-whole-word-masking
0.3447164619109313,2.6890391659999864,5,mean,cosine,bert-large-cased
0.3447164394794979,2.495563790999995,5,sum,cosine,bert-large-cased
0.3135833167973914,2.4449329579999812,2,sum,cosine,bert-large-cased
0.3135833019719657,2.4828492080000046,2,mean,cosine,bert-large-cased
0.29733723505755894,2.401520916999999,1,sum,cosine,bert-large-cased
0.29733721731899276,2.9888387079999745,1,mean,cosine,bert-large-cased
0.29619985644311797,4.043555374999983,0,none,cosine,bert-large-cased
0.2857120295371254,3.4716317500000002,0,none,cosine,bert-large-cased-whole-word-masking
0.20321100563319006,2.4557601660000046,10,prod,cosine,bert-large-cased
0.19019486001660835,2.9022434579999867,10,prod,cosine,bert-large-cased-whole-word-masking
0.16282003913753096,2.443460208999994,1,prod,cosine,bert-large-cased
0.12756987634665407,2.939840207999964,1,prod,cosine,bert-large-cased-whole-word-masking
0.11641418177226537,2.455641374999999,2,prod,cosine,bert-large-cased
-0.016489011375411256,2.9483578749999992,2,prod,cosine,bert-large-cased-whole-word-masking
-0.0877283526978625,2.894872374999977,5,prod,cosine,bert-large-cased-whole-word-masking
-0.1530870214258111,2.4588505419999933,5,prod,cosine,bert-large-cased
